Entry,ID,Na,Al,Si,H2O,Si_source_Fumed silica,Si_source_Ludox-AS40,Si_source_Ludox-SM30,Si_source_Na2SiO3,Si_source_TEOS,Si precursor sizs (nm),Pre-dissolution of Si,Al_source_Al(OH)3,Al_source_NaAlO2,Pre-dissolution of Al,Si/OH,Si/Al,Time (h),Temperature (°C),EMT
101,EP40H,36.9,2.5,6.8,450,0,0,0,1,0,2,1,0,1,1,0.1842818428184282,2.72,72.0,45,1
102,EP43H,36.9,1.0,7.8,450,0,0,0,1,0,2,1,0,1,1,0.2113821138211382,7.8,72.0,45,1
103,EP45H,36.9,2.0,8.4,450,0,0,0,1,0,2,1,0,1,1,0.2276422764227642,4.2,72.0,45,1
104,EP47H,36.9,3.0,7.5,450,0,0,0,1,0,2,1,0,1,1,0.2032520325203252,2.5,72.0,45,1
105,EP49H,36.9,1.0,9.0,450,0,0,0,1,0,2,1,0,1,1,0.2439024390243903,9.0,72.0,45,0
106,EP51H,36.9,3.5,9.0,450,0,0,0,1,0,2,1,0,1,1,0.2439024390243903,2.571428571428572,72.0,45,0
107,EP53H,36.9,1.5,9.5,450,0,0,0,1,0,2,1,0,1,1,0.2574525745257453,6.333333333333333,72.0,45,1
108,EP54H,36.9,2.5,10.0,450,0,0,0,1,0,2,1,0,1,1,0.2710027100271003,4.0,72.0,45,1
109,EP55H,36.9,3.5,9.5,450,0,0,0,1,0,2,1,0,1,1,0.2574525745257453,2.714285714285714,72.0,45,1
110,EP56H,36.9,2.5,8.5,450,0,0,0,1,0,2,1,0,1,1,0.2303523035230352,3.4,72.0,45,1
112,EP60H,36.9,3.5,11.5,450,0,0,0,1,0,2,1,0,1,1,0.3116531165311653,3.285714285714286,72.0,45,1
113,EP30H-0h,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,0.0,45,0
114,EP30H-3h,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,3.0,45,0
115,EP30H-8.5h,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,8.5,45,0
116,EP30H-13,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,13.0,45,0
117,EP30H-16.5,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,16.5,45,0
118,EP30H-20h,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,20.0,45,0
119,EP30H-24h,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,24.0,45,1
120,EP30H-48h,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,48.0,45,1
121,EP30H-120h,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,120.0,45,1
122,EP30H-144h,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,144.0,45,1
123,EP30H-384h,36.9,1.0,4.0,450,0,0,0,1,0,2,1,0,1,1,0.1084010840108401,4.0,384.0,45,1
125,EP30H-11,36.9,1.0,4.0,450,0,0,0,0,1,5,0,1,0,0,0.1084010840108401,4.0,72.0,45,0
126,EP30H-12,36.9,1.0,4.0,450,0,1,0,0,0,22,0,1,0,0,0.1084010840108401,4.0,72.0,45,0
127,EP30H-13,44.3,1.0,4.0,450,1,0,0,0,0,5,0,1,0,0,0.09029345372460497,4.0,72.0,45,1
131,EP01-1,36.9,2.0,5.15,450,0,1,0,0,0,22,0,1,0,0,0.1395663956639566,2.575,72.0,40,0
132,EP11-1,36.9,1.0,5.15,450,0,1,0,0,0,22,0,1,0,0,0.1395663956639566,5.15,72.0,40,0
133,EP61,42.44,2.0,5.15,450,0,1,0,0,0,22,0,1,0,0,0.1213477851083883,2.575,72.0,40,0
134,EP62,47.97,2.0,5.15,450,0,1,0,0,0,22,0,1,0,0,0.1073587658953513,2.575,72.0,40,0
135,EP63,36.9,2.0,5.15,450,0,1,0,0,0,22,0,1,0,0,0.1395663956639566,2.575,48.0,30,1
