Entry,ID,Na,Al,Si,H2O,Si source,Si precursor sizs (nm),Pre-dissolution of Si,Al source,Pre-dissolution of Al,Clear solution after mixing,Si/OH,Si/Al,Time (h),Temperature (°C),Morphology,Product Si/Al,SBET (m2/g),Sexternal (m2/g),Vmicro (cm3/g),pH,Product ,Unnamed: 23
71,EP32L,36.9,1.8,6.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1761517615176152,3.611111111111111,72.0,35,,,,,,13.519,EMT + Amorphous,
72,EP33L,36.9,1.0,6.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1761517615176152,6.5,72.0,35,,,,,,13.506,Amorphous,
73,EP36L,36.9,1.5,7.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.2032520325203252,5.0,72.0,35,,,,,,13.533,EMT + Amorphous,
74,EP38L,36.9,1.0,3.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.0948509485094851,3.5,72.0,35,,,,,,13.561,EMT + Amorphous,
75,EP40L,36.9,2.5,6.8,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1842818428184282,2.7199999999999998,72.0,35,,,,,,13.603,EMT + Amorphous,
76,EP43L,36.9,1.0,7.8,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.21138211382113822,7.8,72.0,35,,,,,,,EMT + Amorphous,
77,EP45L,36.9,2.0,8.4,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.22764227642276424,4.2,72.0,35,,,,,,,Amorphous,
78,EP47L,36.9,3.0,7.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.2032520325203252,2.5,72.0,35,,,,,,,Amorphous + EMT,
79,EP49L,36.9,1.0,9.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.24390243902439027,9.0,72.0,35,,,,,,,Amorphous + EMT,
80,EP51L,36.9,3.5,9.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.24390243902439027,2.5714285714285716,72.0,35,,,,,,,Amorphous,
81,EP53L,36.9,1.5,9.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.25745257452574527,6.333333333333333,72.0,35,,,,,,,Amorphous + EMT,
82,EP54L,36.9,2.5,10.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.2710027100271003,4.0,72.0,35,,,,,,,Amorphous,
83,EP55L,36.9,3.5,9.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.25745257452574527,2.7142857142857144,72.0,35,,,,,,,Amorphous,
84,EP56L,36.9,2.5,8.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.23035230352303523,3.4,72.0,35,,,,,,,Amorphous + EMT,
85,EP57L,36.9,1.0,12.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.3252032520325203,12.0,72.0,35,,,,,,,Amorphous,
86,EP60L,36.9,3.5,11.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.31165311653116534,3.2857142857142856,72.0,35,,,,,,,Amorphous + EMT,
87,EP09H,36.9,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,2.575,72.0,45,nanocrystal,1.1,643.97,185.15,0.19,,EMT,
88,EP11H,36.9,1.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,5.15,72.0,45,nanocrystal,1.1,648.61,135.47,0.21,,EMT,
89,EP17H,36.9,0.8,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,6.4375,72.0,45,nanocrystal,1.1,554.97,132.25,0.18,,EMT,
90,EP18H,36.9,1.5,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.13956639566395665,3.4333333333333336,72.0,45,nanocrystal,1.08,557.28,154.14,0.17,,EMT,
91,EP23H,40.0,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.12875,2.575,72.0,45,nanocrystal,1.05,403.7,118.43,0.12,,EMT,
92,EP24H,34.0,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.15147058823529413,2.575,72.0,45,nanocrystal,1.15,447.61,122.14,0.14,,EMT,
93,EP25H,32.0,2.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1609375,2.575,72.0,45,nanocrystal,1.1,500.24,124.34,0.16,,EMT,
94,EP26H,34.0,1.6,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.15147058823529413,3.21875,72.0,45,nanocrystal,1.09,507.95,130.82,0.16,,EMT,
95,EP27H,34.0,1.0,5.15,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.15147058823529413,5.15,72.0,45,nanocrystal,1.01,538.34,65.05,0.2,,EMT,
96,EP30H,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,72.0,45,nanocrystal,1.1,554.43,85.11,0.2,,EMT,
97,EP32H,36.9,1.8,6.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1761517615176152,3.611111111111111,72.0,45,nanocrystal,1.03,632.25,196.17,0.18,,EMT,
98,EP33H,36.9,1.0,6.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1761517615176152,6.5,72.0,45,nanocrystal,1.08,698.76,198.73,0.21,,EMT,
99,EP36H,36.9,1.5,7.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.2032520325203252,5.0,72.0,45,nanocrystal,1.04,535.0,156.61,0.16,,EMT,
100,EP38H,36.9,1.0,3.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.0948509485094851,3.5,72.0,45,nanocrystal,1.05,546.26,69.31,0.2,,EMT+LTA,
101,EP40H,36.9,2.5,6.8,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1842818428184282,2.7199999999999998,72.0,45,nanocrystal,1.04,528.39,166.65,0.15,,EMT,
102,EP43H,36.9,1.0,7.8,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.21138211382113822,7.8,72.0,45,nanocrystal,1.29,408.15,103.13,0.13,,EMT,
103,EP45H,36.9,2.0,8.4,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.22764227642276424,4.2,72.0,45,nanocrystal,1.12,478.23,143.21,0.14,,EMT,
104,EP47H,36.9,3.0,7.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.2032520325203252,2.5,72.0,45,nanocrystal,1.02,,,,,EMT,
105,EP49H,36.9,1.0,9.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.24390243902439027,9.0,72.0,45,nanocrystal,1.24,346.18,87.46,0.11,,EMT+RHO,
106,EP51H,36.9,3.5,9.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.24390243902439027,2.5714285714285716,72.0,45,nanocrystal,1.08,547.21,206.71,0.14,,EMT + Amorphous,
107,EP53H,36.9,1.5,9.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.25745257452574527,6.333333333333333,72.0,45,nanocrystal,,,,,,EMT,
108,EP54H,36.9,2.5,10.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.2710027100271003,4.0,72.0,45,nanocrystal,,636.65,229.47,0.17,,EMT,
109,EP55H,36.9,3.5,9.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.25745257452574527,2.7142857142857144,72.0,45,nanocrystal,,357.05,195.06,0.07,,EMT,
110,EP56H,36.9,2.5,8.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.23035230352303523,3.4,72.0,45,nanocrystal,,,,,,EMT,
111,EP57H,36.9,1.0,12.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.3252032520325203,12.0,72.0,45,,,,,,,Amorphous,
112,EP60H,36.9,3.5,11.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.31165311653116534,3.2857142857142856,72.0,45,nanocrystal,,355.48,129.92,0.09,,EMT,
113,EP30H-0h,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,0.0,45,,,,,,13.46,Solution,
114,EP30H-3h,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,3.0,45,,1.07,,,,13.45,Amorphous,
115,EP30H-8.5h,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,8.5,45,,1.09,,,,13.49,Amorphous,
116,EP30H-13,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,13.0,45,,1.04,,,,13.67,Amorphous,
117,EP30H-16.5,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,16.5,45,,1.12,56.0,,0.02,13.52,Amorphous + EMT,
118,EP30H-20h,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,20.0,45,,1.07,193.0,,0.11,13.6,EMT + Amorphous,
119,EP30H-24h,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,24.0,45,nanocrystal,1.1,552.0,,0.18,13.52,EMT,
120,EP30H-48h,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,48.0,45,nanocrystal,,,,,,EMT,
121,EP30H-120h,36.9,1.0,4.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.10840108401084012,4.0,120.0,45,nanocrystal,,,,,13.72,EMT,
